ID	PLACE_ID	CREATED_AT	REVIEWER_ID	COMMENTS
197796668	13627321	2017-09-27 0:00	5181384	'Great modern 2 bedroom unit...'
198263347	20351923	2017-09-29 0:00	107627876	'It is a great place to stay...'
199443321	1001457	2017-10-02 0:00	100103629	'Place was very convenient t...'
199447438	13627321	2017-10-02 0:00	146782722	就在市中心,位置很好找,附近还有免费的电车｡房子非常干...
199748324	13627321	2017-10-02 0:00	23432679	'Great host! Wonderful stay ...'
200540476	13627321	2017-10-05 0:00	133552419	'房间很棒'
200877986	13627321	2017-10-07 0:00	84176087	'Alex had such a beautiful p...'
202102703	13627321	2017-10-09 0:00	126592598	'Awesome place and nice host...'
202105253	20351923	2017-10-10 0:00	102672770	Great communication, very c...
202110430	1001457	2017-10-10 0:00	67738135	'Place was perfect for my fa...'
202777517	20351923	2017-10-13 0:00	28848031	'Did not have the chance to ...'
203904805	1001457	2017-10-16 0:00	112161891	Amazing, warm hearted peopl...
205312116	1001457	2017-10-22 0:00	105878272	'BEWARE - if you want to sle...'
206324374	13627321	2017-10-25 0:00	3861323	'Amazing apartment with spec...'
206527063	1001457	2017-10-26 0:00	79985977	'The apartment is super. Nic...'
208541622	20351923	2017-11-02 0:00	76287489	'Very value for money apartm...'
208543578	13627321	2017-11-02 0:00	50974215	Great Location, Great View,...
209754687	13627321	2017-11-05 0:00	138112974	Great stay, good view, tidy...
210172799	20351923	2017-11-08 0:00	147446121	Nice place, very clean and ...
210328686	20351923	2017-11-08 0:00	26610668	'Great location and value fo...'
210513271	1001457	2017-11-10 0:00	899443	'Great location! Very comfo...'
210972653	20351923	2017-11-12 0:00	113483799	Amazing view, perfect locat...
211470612	13627321	2017-11-13 0:00	135176160	Central, extremely clean an...
211871711	13627321	2017-11-14 0:00	157495416	'The apartment is very well ...'
212046253	20351923	2017-11-15 0:00	91605916	'Der Check-in sowie die gesa...'
212231365	20351923	2017-11-16 0:00	73881917	'Great place would stay again'
212667908	20351923	2017-11-18 0:00	141242655	'This was an amazing place. ...'
212686205	13627321	2017-11-19 0:00	97405044	1.房东Alex回复的很快,满足了我的小小要求,让我可...
213739130	20351923	2017-11-22 0:00	6660803	Awesome place! Super nice, ...
214920193	13627321	2017-11-26 0:00	103792420	'View was incredible. Apartm...'
215138237	20351923	2017-11-27 0:00	91010118	'The apartment was well loca...'
215292520	20351923	2017-11-28 0:00	12488804	'Great location and apartmen...'
215625251	20351923	2017-11-30 0:00	17849113	'We had a great stay at Cozy...'
216966606	20351923	2017-12-06 0:00	54708789	'Great communication and fan...'
217131890	13627321	2017-12-07 0:00	29075384	位于市中心 交通便利｡48楼视线好,风景佳｡房东热情,...
217329805	20351923	2017-12-08 0:00	36905106	'The location of this apartm...'
217568147	13627321	2017-12-09 0:00	6247627	What more can I say, you ca...
218456840	20351923	2017-12-12 0:00	17187036	'Cozy's place is highly reco...'
219566476	22002927	2017-12-18 0:00	77502059	'the location is great and t...'
219945802	13627321	2017-12-19 0:00	54954339	房子位置很好,出门就是公交站,房主热情细心,屋内设施齐...
221221640	22002927	2017-12-25 0:00	121414457	great place, location is ri...
221230211	13627321	2017-12-25 0:00	11580934	Alex was a fantastic host, ...
221534183	20351923	2017-12-26 0:00	61624650	'The city view from the apar...'
221540103	13627321	2017-12-26 0:00	158915776	'Amazing apartment! convenie...'
221820307	20351923	2017-12-27 0:00	101716192	Great view, Woolworths in t...
222453193	22002927	2017-12-29 0:00	5959915	'Great value—super close to ...'
224671222	20351923	2018-01-03 0:00	63052516	'Excellent place for holiday...'
225556505	22002927	2018-01-07 0:00	12436401	'Close to Crown and it’s man...'
226113870	13627321	2018-01-08 0:00	88591057	'Alex was very helpful who c...'
226864309	20351923	2018-01-12 0:00	153697372	'Really enjoyed our stay loc...'
226864802	22002927	2018-01-12 0:00	150325924	'This place is awesome! Awes...'
227076426	13627321	2018-01-13 0:00	164704879	Nice and tidy rooms, Great ...
227464192	20351923	2018-01-15 0:00	118550331	'Excellent ! Highly recommen...'
227729871	22002927	2018-01-15 0:00	158672604	'Awesome location with amazi...'
227750622	20351923	2018-01-16 0:00	160084417	'Very good night view. Tidy ...'
228074109	22740286	2018-01-17 0:00	162858823	'Beautiful n clean place. En...'
228242959	20351923	2018-01-18 0:00	76083600	'Our first impression when w...'
228672072	22002927	2018-01-20 0:00	8192736	'Great central location righ...'
229084680	13627321	2018-01-21 0:00	16155941	'Highly recommend Alex’s pla...'
229652511	13627321	2018-01-24 0:00	155356555	'很棒的地點 很棒的房東 設備齊全 讚'
229831422	1001457	2018-01-25 0:00	8072242	'We had a great family holid...'
230048316	20351923	2018-01-26 0:00	7789277	Enjoyed the stay, loved the...
230317727	22740286	2018-01-28 0:00	56276062	'Beautiful apartment with sp...'
231171234	13627321	2018-01-31 0:00	66826437	'Clean and well equipped apa...'
231366802	13627321	2018-01-31 0:00	131006595	'good service'
231800901	22740286	2018-02-02 0:00	103721066	屋子特别舒适,期待下次还能入住!
232442213	20351923	2018-02-04 0:00	148225808	'Very great location and ama...'
233727705	22868779	2018-02-10 0:00	18953221	'Excellent location in the m...'
233749099	22002927	2018-02-10 0:00	119167384	'Had an awesome time. Great ...'
234476349	20351923	2018-02-12 0:00	158622285	'really appreciate Abby‘s qu...'
234484852	22740286	2018-02-12 0:00	167928657	Everything is good,the host...
234720389	13627321	2018-02-13 0:00	42428204	'房东Alex非常热情!房间超级满意!干净卫生景色无与伦...'
234968397	22002927	2018-02-14 0:00	112303089	Great place, amazing view a...
235462522	20351923	2018-02-16 0:00	153572323	Departamento nuevo, ubicaci...
235472141	22868779	2018-02-16 0:00	92233089	'Joel’s place was truly amaz...'
235768331	22002927	2018-02-17 0:00	19865590	'The apartment has a great v...'
236936895	20351923	2018-02-20 0:00	40937246	'Great apartment! Very well ...'
237162416	20351923	2018-02-21 0:00	39392035	'Very nice house'
237399281	20351923	2018-02-22 0:00	161528485	非常棒的体验,天空之镜太酷了,舒适整洁,交通便利,无线...
237669020	1001457	2018-02-23 0:00	158913049	'挺好的'
237680475	22002927	2018-02-23 0:00	173633911	'The location is ok and thro...'
237974742	13627321	2018-02-24 0:00	108974338	很方便的位置,公共交通便利,楼下餐饮多,中国菜也多,值...
237984634	20351923	2018-02-24 0:00	37286345	Very clean apartment, withi...
238990451	1001457	2018-02-27 0:00	46223554	'We had a wonderful time at ...'
238994707	20351923	2018-02-28 0:00	103961947	'Amazing view and very centr...'
239452702	20351923	2018-03-01 0:00	25649770	Great view, good sized apar...
239454467	22002927	2018-03-01 0:00	42471240	'They are great host. The ap...'
239704795	13627321	2018-03-02 0:00	175344686	公寓楼层高,景色很好｡位置出行方便,自驾车有免费停车位｡
239979332	20351923	2018-03-03 0:00	36480120	'This apartment was beautifu...'
239980464	1001457	2018-03-03 0:00	174070590	'Friendly service. Great loc...'
239995465	22002927	2018-03-03 0:00	172753566	Gorgeous apartment, stylish...
240472980	20351923	2018-03-04 0:00	123173487	Great space, great location...
240478301	22002927	2018-03-04 0:00	176445170	very good location, very c...
240749082	22002927	2018-03-06 0:00	96126624	'Book this apartment at last...'
241888366	1001457	2018-03-10 0:00	66535755	Great Docklands location, w...
241899462	22002927	2018-03-10 0:00	53782655	'Thanks for a great stay...e...'
241900101	20351923	2018-03-10 0:00	59218724	'Stylish and a very convenie...'
241907979	22868779	2018-03-10 0:00	14769332	'Strongly recommend! The dec...'
241910974	22740286	2018-03-10 0:00	64732444	'Great apartment and great l...'
242435728	22740286	2018-03-11 0:00	145114007	'Great place to stay if atte...'
242435858	13627321	2018-03-11 0:00	14590737	'My family of 5 stayed at Al...'
242460267	22002927	2018-03-12 0:00	55058742	'Great location. Made everyt...'
242932580	22740286	2018-03-13 0:00	151224301	'Great place great location!...'
242953950	20351923	2018-03-14 0:00	44138824	'Fantastic location over loo...'
243162591	20351923	2018-03-15 0:00	95604185	'Very cute and modern. Withi...'
243165073	13627321	2018-03-15 0:00	152125902	'Alex is an exceptional host...'
243688387	22002927	2018-03-16 0:00	19758148	'Great location for those wi...'
243992911	13627321	2018-03-17 0:00	25967828	'Alex was an amazing host. H...'
243993262	22868779	2018-03-17 0:00	178384392	'Loved the apartment and the...'
